trial_number,value,params
40,0.3463964092184708,"{'clf_lr': 0.04876475785048294, 'dropout': 0.4415557366279738, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 4.799875352097672, 'n_units_l0': 179, 'n_units_l1': 122, 'n_units_l2': 699, 'n_units_l3': 718}"
41,0.3852544725649421,"{'clf_lr': 0.004154474634655198, 'dropout': 0.34406201879799264, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 4.3799446739020516, 'n_units_l0': 88, 'n_units_l1': 546, 'n_units_l2': 621}"
42,0.42267827720581186,"{'clf_lr': 0.00027680016508980414, 'dropout': 0.24622113786179342, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 3.762896008597894, 'n_units_l0': 39, 'n_units_l1': 597, 'n_units_l2': 660}"
43,0.3463228757602764,"{'clf_lr': 0.010564577782496061, 'dropout': 0.25803464329817827, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 3.7635710630799664, 'n_units_l0': 30, 'n_units_l1': 588, 'n_units_l2': 716}"
44,0.38912458592431587,"{'clf_lr': 0.07568457921181906, 'dropout': 0.14381969494254665, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 2.993533655815898, 'n_units_l0': 49, 'n_units_l1': 646, 'n_units_l2': 693, 'n_units_l3': 586}"
45,0.3914225667023341,"{'clf_lr': 0.00471182197288321, 'dropout': 0.06174201351580061, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 3.2423562280822713, 'n_units_l0': 394, 'n_units_l1': 487, 'n_units_l2': 639}"
46,0.3596507749990265,"{'clf_lr': 0.009848244599902677, 'dropout': 0.2643644307294446, 'reduction': 'mean', 'n_layers': 2, 'pos_weight': 4.18108738132302, 'n_units_l0': 102, 'n_units_l1': 36}"
47,0.3209074005368241,"{'clf_lr': 0.017029557671149696, 'dropout': 0.31242350165019234, 'reduction': 'sum', 'n_layers': 4, 'pos_weight': 2.6227757295476897, 'n_units_l0': 29, 'n_units_l1': 699, 'n_units_l2': 733, 'n_units_l3': 644}"
48,0.3838045857480191,"{'clf_lr': 0.0036206343410862263, 'dropout': 0.22095625385601506, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 3.611715215515471, 'n_units_l0': 146, 'n_units_l1': 346, 'n_units_l2': 504, 'n_units_l3': 434}"
49,0.2692537141043368,"{'clf_lr': 0.012932489861909577, 'dropout': 0.788729399706912, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 3.8047679743080636, 'n_units_l0': 580, 'n_units_l1': 40, 'n_units_l2': 572, 'n_units_l3': 520, 'n_units_l4': 257}"
